,icao24,start,end
971,a91d0f,132928,440903
972,a4417d,133163,1539197
973,a8b56f,134200,1303912
974,7c16d4,134674,225172
975,a0e69b,137521,139530
976,a0e69b,176467,461131
977,896110,140840,255513
978,846516,140954,1686347
979,a8c094,145717,1265921
980,a52e54,145864,1609906
981,ab5975,1039534,1383501
982,a19dd0,147855,196378
983,89644c,148473,756532
984,aa568f,151674,1145291
985,ac21c3,154253,167938
986,abfcb6,179964,186432
987,ada336,157358,497002
988,a51ed1,165833,887877
989,89620a,163645,682597
990,89620a,787349,788735
991,a7a60e,164193,171716
992,4844a2,164482,1758486
993,a1701b,164914,1702319
994,a809d3,166011,174727
995,4bb184,780805,797489
996,4bb184,1123762,1153044
997,a10d56,166650,173138
998,789219,167804,1257918
999,a94b6b,171173,1331389
1000,a96172,171697,210908
1001,ac8e1a,175909,1145629
1002,aba9e7,176452,954783
1003,aba9e7,957693,1103750
1004,a8304f,181913,1219625
1005,a66355,182977,445188
1006,a331bd,183016,474679
1007,a3b028,188585,1443059
1008,ad6c3b,189085,1570039
1009,0d0a04,192972,874030
1010,aaaf71,196379,208971
1011,76cd03,196764,252834
1012,a0327f,197707,397862
1013,a30bce,201772,1645754
1014,a03f48,204004,1234000
1015,a7e20a,204045,234469
1016,a1d44e,204471,250878
1017,780487,204603,442800
1018,ab14d9,206581,235207
1019,aa06c2,206869,277913
1020,4243e3,208841,982600
1021,ac828f,210228,735772
1022,344056,210707,224278
1023,a3ccea,218911,1131149
1024,a8a64b,218995,1198590
1025,a6ce36,219069,1577196
1026,8963d4,220536,327590
1027,e024cf,224740,712251
1028,a7df61,225352,239343
1029,343688,226514,239504
